station,cope_or_chae,corrected_size,size_class,functional_group
33,chaetognath,5.6,chaetognath juvenile,chaetognath juvenile
33,chaetognath,5.3,chaetognath juvenile,chaetognath juvenile
33,chaetognath,19.9,chaetognath adult,chaetognath adult
33,copepod,0.9,size class 1,copepod (herbivorous/ omnivorous)
33,copepod,2.1,size class 3,copepod (herbivorous/ omnivorous)
33,copepod,4.9,size class 4,copepod (carnivorous)
33,chaetognath,14,chaetognath adult,chaetognath adult
33,copepod,2.3,size class 3,copepod (herbivorous/ omnivorous)
33,copepod,1.2,size class 1,copepod (herbivorous/ omnivorous)
33,copepod,1.1,size class 1,copepod (herbivorous/ omnivorous)
33,chaetognath,9.6,chaetognath adult,chaetognath adult
33,chaetognath,9.2,chaetognath adult,chaetognath adult
33,chaetognath,7.3,chaetognath adult,chaetognath adult
33,chaetognath,5.9,chaetognath juvenile,chaetognath juvenile
33,chaetognath,8.4,chaetognath adult,chaetognath adult
33,copepod,1.1,size class 1,copepod (herbivorous/ omnivorous)
33,copepod,1.5,size class 2,copepod (herbivorous/ omnivorous)
33,copepod,1.1,size class 1,copepod (herbivorous/ omnivorous)
33,chaetognath,8.8,chaetognath adult,chaetognath adult
33,copepod,2,size class 3,copepod (herbivorous/ omnivorous)
13,chaetognath,24.1,chaetognath adult,chaetognath adult
13,copepod,1.2,size class 1,copepod (herbivorous/ omnivorous)
13,chaetognath,11,chaetognath adult,chaetognath adult
13,chaetognath,7.2,chaetognath juvenile,chaetognath juvenile
13,chaetognath,8.7,chaetognath adult,chaetognath adult
13,chaetognath,5.8,chaetognath juvenile,chaetognath juvenile
13,copepod,1,size class 1,copepod (herbivorous/ omnivorous)
13,chaetognath,22.6,chaetognath adult,chaetognath adult
13,copepod,1.5,size class 2,copepod (herbivorous/ omnivorous)
13,copepod,1.3,size class 2,copepod (herbivorous/ omnivorous)
13,copepod,1.4,size class 2,copepod (herbivorous/ omnivorous)
13,copepod,1.1,size class 1,copepod (herbivorous/ omnivorous)
13,copepod,1.3,size class 2,copepod (herbivorous/ omnivorous)
13,chaetognath,6.7,chaetognath juvenile,chaetognath juvenile
13,copepod,0.8,size class 1,copepod (herbivorous/ omnivorous)
13,chaetognath,4.8,chaetognath juvenile,chaetognath juvenile
13,chaetognath,7.4,chaetognath adult,chaetognath adult
13,copepod,1.2,size class 1,copepod (herbivorous/ omnivorous)
17,copepod,1.2,size class 1,copepod (herbivorous/ omnivorous)
17,copepod,0.6,size class 1,copepod (herbivorous/ omnivorous)
17,copepod,1,size class 1,copepod (herbivorous/ omnivorous)
17,copepod,0.9,size class 1,copepod (herbivorous/ omnivorous)
17,chaetognath,9,chaetognath adult,chaetognath adult
17,copepod,0.8,size class 1,copepod (herbivorous/ omnivorous)
17,copepod,0.9,size class 1,copepod (herbivorous/ omnivorous)
17,chaetognath,8.2,chaetognath adult,chaetognath adult
17,copepod,1.1,size class 1,copepod (herbivorous/ omnivorous)
17,copepod,1.1,size class 1,copepod (herbivorous/ omnivorous)
17,copepod,1.4,size class 2,copepod (herbivorous/ omnivorous)
17,chaetognath,11.1,chaetognath adult,chaetognath adult
17,chaetognath,5.4,chaetognath juvenile,chaetognath juvenile
17,copepod,0.8,size class 1,copepod (herbivorous/ omnivorous)
17,chaetognath,25.7,chaetognath adult,chaetognath adult
17,chaetognath,6.5,chaetognath juvenile,chaetognath juvenile
17,chaetognath,6.2,chaetognath juvenile,chaetognath juvenile
