station,chl_a_concentration,biomass,number,cope_or_chae,date,lat,long,num_juv,num_adult
13,0.1,14.8,15,chaetognath,11-Oct-23,-9.737,-178.947,4.5436000000000005,10.2416
13,0.1,54.4,55,copepod,11-Oct-23,-9.737,-178.947,NA,NA
17,0.1,4,4,chaetognath,17-Oct-23,-9.942,-178.488,1.228,2.768
17,0.1,66,66,copepod,17-Oct-23,-9.942,-178.488,NA,NA
20,0.05,0,0,chaetognath,18-Oct-23,-12.174,-176.949,0,0
20,0.05,71,71,copepod,18-Oct-23,-12.174,-176.949,NA,NA
23,0.04,18.4,19,chaetognath,20-Oct-23,-14.618,-176.032,5.6488,12.732799999999997
23,0.04,58.2,60,copepod,20-Oct-23,-14.618,-176.032,NA,NA
26,0.05,2,2,chaetognath,21-Oct-23,-17.187,-176.34,0.614,1.384
26,0.05,66,65,copepod,21-Oct-23,-17.187,-176.34,NA,NA
29,0.09,3,3,chaetognath,23-Oct-23,-19.242,-176.18,0.921,2.0759999999999996
29,0.09,74,74,copepod,23-Oct-23,-19.242,-176.18,NA,NA
33,0.11,1.9,2,chaetognath,25-Oct-23,-21.428,-175.95,0.5832999999999999,1.3147999999999997
33,0.11,66.7,56,copepod,25-Oct-23,-21.428,-175.95,NA,NA
36,0.13,14,14,chaetognath,27-Oct-23,-23.867,-175.627,4.298,9.687999999999999
36,0.13,69,69,copepod,27-Oct-23,-23.867,-175.627,NA,NA
38,0.11,5,5,chaetognath,28-Oct-23,-25.512,-174.797,1.535,3.46
38,0.11,70,70,copepod,28-Oct-23,-25.512,-174.797,NA,NA
42,0.05,2,2,chaetognath,31-Oct-23,-28.918,-176.12,0.614,1.384
42,0.05,68,68,copepod,31-Oct-23,-28.918,-176.12,NA,NA
44,0.07,2,2,chaetognath,1-Nov-23,-30.052,-176.36,0.614,1.384
44,0.07,69,70,copepod,1-Nov-23,-30.052,-176.36,NA,NA
